"ABCIndicator","AdditionalDeviceData","Assembly","AssetLocation","AssetRoom","BasicSchedulingType","BusinessArea","ControllingArea","ControllingObjectClass","CreatedByUser","Equipment","EquipmentName","FunctionalArea","FunctionalLocation","LastChangeDateTime","LatestAcceptableCompletionDate","LocAcctAssgmtWBSElmntIntID","MainWorkCenter","MainWorkCenterInternalID","MainWorkCenterPlant","MainWorkCenterTypeCode","MaintObjectFreeDefinedAttrib","MaintObjectLocAcctAssgmtNmbr","MaintOrdBasicEndDate","MaintOrdBasicEndDateTime","MaintOrdBasicEndTime","MaintOrdBasicStartDate","MaintOrdBasicStartDateTime","MaintOrdBasicStartTime","MaintOrdPersonResponsible","MaintOrdProcessPhaseCode","MaintOrdProcessSubPhaseCode","MaintOrdSchedldBscEndDateTime","MaintOrdSchedldBscStrtDateTime","MaintOrderReferenceDate","MaintOrderReferenceDateTime","MaintOrderReferenceTime","MaintOrderRoutingNumber","MaintPriority","MaintPriorityType","MaintenanceActivityType","MaintenanceNotification","MaintenanceObjectList","MaintenanceOrder","MaintenanceOrderDesc","MaintenanceOrderInternalID","MaintenanceOrderPlanningCode","MaintenanceOrderType","MaintenancePlannerGroup","MaintenancePlanningPlant","MaintenancePlant","MaintenanceRevision","OperationSystemCondition","OrdIsNotSchedldAutomatically","OrderProcessingGroup","PlantSection","ProfitCenter","ReferenceElement","ResponsibleCostCenter","ScheduledBasicEndDate","ScheduledBasicEndTime","ScheduledBasicStartDate","ScheduledBasicStartTime","SerialNumber","SuperiorProjectNetwork","TechObjIsEquipOrFuncnlLoc","TechnicalObject","TechnicalObjectLabel","WBSElementInternalID","WorkCenter","WorkCenterInternalID","WorkCenterTypeCode"
"","","","","","4","0001","USEA","OC","JLEE","","","","","2019-08-19T20:36:16.000Z",,"0","EDOHR101","10000325","1001","A","","000000005918","2019-06-28","2019-06-28T04:00:00.000Z","04:00:00","2019-06-27","2019-06-27T04:00:00.000Z","04:00:00","","","","2019-06-27T13:00:00.000Z","2019-06-27T13:00:00.000Z","2019-06-28","2019-06-28T03:59:59.000Z","03:59:59","1000000400","","PM","003","10000465",2386,"200025","SCI1 sub work order","OR000000200025","1","SCI1","001","1001","","","","","0","","USEAPROF","","OPS-REG-1","2019-06-27","13:00:00","2019-06-27","13:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-07-05T07:46:22.000Z",,"0","TEST_CDX","10000402","1001","A","","000000005936","2019-07-04","2019-07-04T04:00:00.000Z","04:00:00","2019-07-03","2019-07-03T04:00:00.000Z","04:00:00","","","","2019-07-03T04:00:00.000Z","2019-07-03T04:00:00.000Z","2019-07-04","2019-07-04T03:59:59.000Z","03:59:59","1000000404","","PM","003","10000471",2390,"200026","Test data for FL","OR000000200026","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-03","04:00:00","2019-07-03","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-07-04T08:58:16.000Z",,"0","TEST_CDX","10000402","1001","A","","000000005938","2019-07-04","2019-07-04T04:00:00.000Z","04:00:00","2019-07-03","2019-07-03T04:00:00.000Z","04:00:00","","","","2019-07-03T04:00:00.000Z","2019-07-03T04:00:00.000Z","2019-07-04","2019-07-04T03:59:59.000Z","03:59:59","1000000405","","PM","003","10000472",2391,"200027","Test data for FL","OR000000200027","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-03","04:00:00","2019-07-03","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-07-08T09:27:07.000Z",,"0","TEST_CDX","10000402","1001","A","","000000005940","2019-07-04","2019-07-04T04:00:00.000Z","04:00:00","2019-07-03","2019-07-03T04:00:00.000Z","04:00:00","","","","2019-07-03T04:00:00.000Z","2019-07-03T04:00:00.000Z","2019-07-04","2019-07-04T03:59:59.000Z","03:59:59","1000000406","3","PM","003","10000473",2392,"200028","CODEX - SOR CSC1","OR000000200028","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-03","04:00:00","2019-07-03","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-07-05T06:30:49.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016182","2019-07-06","2019-07-06T04:00:00.000Z","04:00:00","2019-07-05","2019-07-05T04:00:00.000Z","04:00:00","","","","2019-07-05T04:00:00.000Z","2019-07-05T04:00:00.000Z","2019-07-06","2019-07-06T03:59:59.000Z","03:59:59","1000000421","3","PM","003","10000480",2467,"200040","Test CODEX Release","OR000000200040","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-05","04:00:00","2019-07-05","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-07-17T07:29:34.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016199","2019-07-11","2019-07-11T04:00:00.000Z","04:00:00","2019-07-10","2019-07-10T04:00:00.000Z","04:00:00","","","","2019-07-10T04:00:00.000Z","2019-07-10T04:00:00.000Z","2019-07-11","2019-07-11T03:59:59.000Z","03:59:59","1000000423","3","PM","003","10000483",2469,"200041","CSC T1 Work Order SCI","OR000000200041","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-10","04:00:00","2019-07-10","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-07-10T07:55:20.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016201","2019-07-11","2019-07-11T04:00:00.000Z","04:00:00","2019-07-10","2019-07-10T04:00:00.000Z","04:00:00","","","","2019-07-10T04:00:00.000Z","2019-07-10T04:00:00.000Z","2019-07-11","2019-07-11T03:59:59.000Z","03:59:59","1000000424","4","PM","003","10000484",2470,"200042","CSC T2 Work Order SCI","OR000000200042","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-10","04:00:00","2019-07-10","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-07-10T08:44:59.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016205","2019-07-11","2019-07-11T04:00:00.000Z","04:00:00","2019-07-10","2019-07-10T04:00:00.000Z","04:00:00","","","","2019-07-10T04:00:00.000Z","2019-07-10T04:00:00.000Z","2019-07-11","2019-07-11T03:59:59.000Z","03:59:59","1000000426","4","PM","003","10000486",2472,"200044","CSC T3 Work Order SCI","OR000000200044","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-10","04:00:00","2019-07-10","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-07-15T08:44:49.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016364","2019-07-16","2019-07-16T04:00:00.000Z","04:00:00","2019-07-15","2019-07-15T04:00:00.000Z","04:00:00","","","","2019-07-15T04:00:00.000Z","2019-07-15T04:00:00.000Z","2019-07-16","2019-07-16T03:59:59.000Z","03:59:59","1000000431","3","PM","003","10000491",2477,"200046","CSC T4 Work Order SCI","OR000000200046","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-15","04:00:00","2019-07-15","04:00:00","","","","","","0","","0",""
"","","","","","1","","USEA","OC","JLEE","","","","","2020-02-06T22:07:00.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016413","2019-08-21","2019-08-21T04:00:00.000Z","04:00:00","2019-08-20","2019-08-20T04:00:00.000Z","04:00:00","","","","2019-08-20T10:00:00.000Z","2019-08-20T04:00:00.000Z","2019-08-21","2019-08-21T03:59:59.000Z","03:59:59","1000000440","","PM","003","10000501",2486,"200047","DO NOT USE FOR YOUR TESTING","OR000000200047","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-08-20","10:00:00","2019-08-20","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-07-18T03:00:29.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016462","2019-07-18","2019-07-18T04:00:00.000Z","04:00:00","2019-07-17","2019-07-17T04:00:00.000Z","04:00:00","","","","2019-07-17T04:00:00.000Z","2019-07-17T04:00:00.000Z","2019-07-18","2019-07-18T03:59:59.000Z","03:59:59","1000000442","","PM","003","10000503",2523,"200048","Codex Testing FL","OR000000200048","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-17","04:00:00","2019-07-17","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-07-18T03:21:50.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016464","2019-07-18","2019-07-18T04:00:00.000Z","04:00:00","2019-07-17","2019-07-17T04:00:00.000Z","04:00:00","","","","2019-07-17T04:00:00.000Z","2019-07-17T04:00:00.000Z","2019-07-18","2019-07-18T03:59:59.000Z","03:59:59","1000000443","3","PM","003","10000504",2524,"200049","CODEX SOR: Internal Order & PR Creation","OR000000200049","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-17","04:00:00","2019-07-17","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-07-18T03:30:27.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016468","2019-07-18","2019-07-18T04:00:00.000Z","04:00:00","2019-07-17","2019-07-17T04:00:00.000Z","04:00:00","","","","2019-07-17T04:00:00.000Z","2019-07-17T04:00:00.000Z","2019-07-18","2019-07-18T03:59:59.000Z","03:59:59","1000000444","4","PM","003","10000505",2525,"200050","CODEX SOR: Internal Order & PR Creation","OR000000200050","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-17","04:00:00","2019-07-17","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-07-18T03:52:56.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016483","2019-07-18","2019-07-18T04:00:00.000Z","04:00:00","2019-07-17","2019-07-17T04:00:00.000Z","04:00:00","","","","2019-07-17T04:00:00.000Z","2019-07-17T04:00:00.000Z","2019-07-18","2019-07-18T03:59:59.000Z","03:59:59","1000000445","","PM","003","10000506",2526,"200051","","OR000000200051","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-17","04:00:00","2019-07-17","04:00:00","","","","","","0","","0",""
"","","","","","5","","USEA","OC","JLEE","","","","","2019-08-06T07:05:47.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016491","2019-09-26","2019-09-26T13:00:00.000Z","13:00:00","2019-08-16","2019-08-16T12:00:00.000Z","12:00:00","","","","2019-09-26T13:00:00.000Z","2019-08-16T12:00:00.000Z","2019-08-16","2019-08-16T12:00:00.000Z","12:00:00","1000000446","","PM","003","10000507",2527,"200052","DO NOT USE FOR YOUR TESTING","OR000000200052","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-09-26","13:00:00","2019-08-16","12:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-07-24T05:48:58.000Z",,"0","TEST_CDX","10000402","1001","A","","000000016495","2019-07-19","2019-07-19T04:00:00.000Z","04:00:00","2019-07-18","2019-07-18T04:00:00.000Z","04:00:00","","","","2019-07-18T04:00:00.000Z","2019-07-18T04:00:00.000Z","2019-07-19","2019-07-19T03:59:59.000Z","03:59:59","1000000447","","PM","003","10000510",2528,"200053","Codex Testing FL","OR000000200053","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-18","04:00:00","2019-07-18","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","WHCHIAM","","","","","2019-07-18T15:51:31.000Z",,"0","EDOHR101","10000325","1001","A","","000000016500","2019-07-19","2019-07-19T04:00:00.000Z","04:00:00","2019-07-18","2019-07-18T04:00:00.000Z","04:00:00","","","","2019-07-18T13:00:00.000Z","2019-07-18T13:00:00.000Z","2019-07-19","2019-07-19T03:59:59.000Z","03:59:59","1000000448","3","PM","003","10000512",2530,"200054","Test Work ORder","OR000000200054","1","SCI1","001","1001","","","","","0","","USEAPROF","","OPS-REG-1","2019-07-18","13:00:00","2019-07-18","13:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","WHCHIAM","","","","","2019-07-18T15:59:18.000Z",,"0","EDOHR101","10000325","1001","A","","000000016504","2019-07-19","2019-07-19T04:00:00.000Z","04:00:00","2019-07-18","2019-07-18T04:00:00.000Z","04:00:00","","","","2019-07-18T13:00:00.000Z","2019-07-18T13:00:00.000Z","2019-07-19","2019-07-19T03:59:59.000Z","03:59:59","1000000450","3","PM","003","10000514",2533,"200055","Test Work ORder 2","OR000000200055","1","SCI1","001","1001","","","","","0","","USEAPROF","","OPS-REG-1","2019-07-18","13:00:00","2019-07-18","13:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-07-23T08:53:04.000Z",,"0","TEST_CDX","10000402","1001","A","","000000017119","2019-07-19","2019-07-19T04:00:00.000Z","04:00:00","2019-07-18","2019-07-18T04:00:00.000Z","04:00:00","","","","2019-07-18T04:00:00.000Z","2019-07-18T04:00:00.000Z","2019-07-19","2019-07-19T03:59:59.000Z","03:59:59","1000000453","","PM","003","10000517",2538,"200056","Codex Testing FL","OR000000200056","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-18","04:00:00","2019-07-18","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","WHCHIAM","","","","","2021-02-03T22:27:45.000Z",,"0","EDOHR101","10000325","1001","A","","000000017127","2019-07-19","2019-07-19T04:00:00.000Z","04:00:00","2019-07-18","2019-07-18T04:00:00.000Z","04:00:00","","","","2019-07-18T13:00:00.000Z","2019-07-18T13:00:00.000Z","2019-07-19","2019-07-19T03:59:59.000Z","03:59:59","1000000457","3","PM","003","10000521",2542,"200057","Test Work ORder 3","OR000000200057","1","SCI1","001","1001","","","","","0","","USEAPROF","","OPS-REG-1","2019-07-18","13:00:00","2019-07-18","13:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-07-24T04:54:18.000Z",,"0","TEST_CDX","10000402","1001","A","","000000017129","2019-07-19","2019-07-19T04:00:00.000Z","04:00:00","2019-07-18","2019-07-18T04:00:00.000Z","04:00:00","","","","2019-07-18T04:00:00.000Z","2019-07-18T04:00:00.000Z","2019-07-19","2019-07-19T03:59:59.000Z","03:59:59","1000000458","","PM","003","10000522",2543,"200058","Codex Testing FL","OR000000200058","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-18","04:00:00","2019-07-18","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-07-24T09:40:54.000Z",,"0","TEST_CDX","10000402","1001","A","","000000017212","2019-07-25","2019-07-25T04:00:00.000Z","04:00:00","2019-07-24","2019-07-24T04:00:00.000Z","04:00:00","","","","2019-07-24T04:00:00.000Z","2019-07-24T04:00:00.000Z","2019-07-25","2019-07-25T03:59:59.000Z","03:59:59","1000000461","","PM","003","10000530",2567,"200060","","OR000000200060","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-24","04:00:00","2019-07-24","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-07-25T08:03:26.000Z",,"0","TEST_CDX","10000402","1001","A","","000000017214","2019-07-26","2019-07-26T04:00:00.000Z","04:00:00","2019-07-25","2019-07-25T04:00:00.000Z","04:00:00","","","","2019-07-25T04:00:00.000Z","2019-07-25T04:00:00.000Z","2019-07-25","2019-07-25T08:01:54.000Z","08:01:54","1000000462","4","PM","003","10000531",2568,"200061","CODEX SOR: User Status Test SC","OR000000200061","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-25","04:00:00","2019-07-25","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-08-01T08:17:37.000Z",,"0","TEST_CDX","10000402","1001","A","","000000017216","2019-08-01","2019-08-01T04:00:00.000Z","04:00:00","2019-07-31","2019-07-31T04:00:00.000Z","04:00:00","","","","2019-07-31T04:00:00.000Z","2019-07-31T04:00:00.000Z","2019-08-01","2019-08-01T03:59:59.000Z","03:59:59","1000000463","","PM","003","10000532",2569,"200062","Codex Testing FL","OR000000200062","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-31","04:00:00","2019-07-31","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-09-12T16:45:38.000Z",,"0","TEST_CDX","10000402","1001","A","","000000017218","2019-08-03","2019-08-03T04:00:00.000Z","04:00:00","2019-08-02","2019-08-02T04:00:00.000Z","04:00:00","","","","2019-08-02T04:00:00.000Z","2019-08-02T04:00:00.000Z","2019-09-12","2019-09-12T16:45:29.000Z","16:45:29","1000000464","","PM","003","10000533",2570,"200063","Codex Testing FL","OR000000200063","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-08-02","04:00:00","2019-08-02","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-07-29T06:54:02.000Z",,"0","TEST_CDX","10000402","1001","A","","000000017220","2019-07-25","2019-07-25T04:00:00.000Z","04:00:00","2019-07-24","2019-07-24T04:00:00.000Z","04:00:00","","","","2019-07-24T04:00:00.000Z","2019-07-24T04:00:00.000Z","2019-07-25","2019-07-25T03:59:59.000Z","03:59:59","1000000465","","PM","003","10000534",2571,"200064","Codex Testing FL","OR000000200064","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-24","04:00:00","2019-07-24","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-08-15T08:32:34.000Z",,"0","TEST_CDX","10000402","1001","A","","000000017232","2019-07-30","2019-07-30T04:00:00.000Z","04:00:00","2019-07-29","2019-07-29T04:00:00.000Z","04:00:00","","","","2019-07-29T04:00:00.000Z","2019-07-29T04:00:00.000Z","2019-08-15","2019-08-15T08:32:23.000Z","08:32:23","1000000469","3","PM","003","10000541",2575,"200065","Test Work Order Multiple Operations CSC1","OR000000200065","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-29","04:00:00","2019-07-29","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","FTEE","","","","","2019-07-29T07:52:11.000Z",,"0","TEST_CDX","10000402","1001","A","","000000017234","2019-07-30","2019-07-30T04:00:00.000Z","04:00:00","2019-07-29","2019-07-29T04:00:00.000Z","04:00:00","","","","2019-07-29T04:00:00.000Z","2019-07-29T04:00:00.000Z","2019-07-30","2019-07-30T03:59:59.000Z","03:59:59","1000000470","","PM","003","10000542",2576,"200066","","OR000000200066","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-29","04:00:00","2019-07-29","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-08-01T05:34:06.000Z",,"0","TEST_CDX","10000402","1001","A","","000000017237","2019-08-01","2019-08-01T04:00:00.000Z","04:00:00","2019-07-31","2019-07-31T04:00:00.000Z","04:00:00","","","","2019-07-31T04:00:00.000Z","2019-07-31T04:00:00.000Z","2019-08-01","2019-08-01T03:59:59.000Z","03:59:59","1000000471","4","PM","003","10000544",2577,"200067","Default Work Order without Materials CSC","OR000000200067","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-31","04:00:00","2019-07-31","04:00:00","","","","","","0","","0",""
